,회사,산업,사원수,연봉
191,아모텍,전기·전자·제어,845,3670
192,내일신문,공기업·공공기관,62,3300
193,부국증권,은행·금융,271,3300
194,아이비케이캐피탈,캐피탈·대출,246,4750
195,하나금융지주,은행·금융,13000,5637
196,미래SCI,전기·전자·제어,100,4300
197,컴투스,게임·애니메이션,1020,3352
198,하나금융티아이,솔루션·SI·CRM·ERP,750,4712
199,LG생활건강,생활화학·화장품,4449,3511
200,한국정보통신기술협회,협회·단체,396,2972
201,삼성디스플레이,반도체·디스플레이·광학,23732,5378
202,대한항공,자동차·조선·철강·항공,18911,5626
203,신한은행,은행·금융,13470,5322
204,한국토지신탁,은행·금융,205,6500
205,신세계,백화점·유통·도소매,60000,3458
206,아나패스,전기·전자·제어,130,5665
207,한국노바티스,제약·보건·바이오,542,1700
208,부산교통공사,공기업·공공기관,4123,5000
209,그린케미칼,화학·에너지·환경,145,6200
210,발레오전장시스템스코리아,자동차·조선·철강·항공,699,6500
211,데상트코리아,섬유·의류·패션,580,4851
212,우리은행,은행·금융,14335,5058
213,NICE홀딩스,은행·금융,6000,3071
214,한국선급,공기업·공공기관,630,2587
215,한국원자력통제기술원,공기업·공공기관,101,4300
216,광주은행,은행·금융,1643,6050
217,한국콜마홀딩스,생활화학·화장품,4100,4012
218,국제엘렉트릭코리아,반도체·디스플레이·광학,292,3500
219,여기어때컴퍼니,모바일·APP,410,4142
220,제이와이피엔터테인먼트,연예·엔터테인먼트,224,3125
221,아트박스,생활용품·소비재·기타,148,4000
222,국보디자인,건축·설비·환경,331,3500
223,브이티지엠피,생활용품·소비재·기타,300,3633
224,신세계인터내셔날,무역·상사,1538,4450
225,비엠더블유파이낸셜서비스코리아,은행·금융,192,4981
226,카카오페이,네트워크·통신서비스,289,9100
227,제이엠티,전기·전자·제어,10,2800
228,에스원,정보보안,6692,4238
229,세메스,반도체·디스플레이·광학,2164,6350
230,인텔코리아,컨설팅·연구·조사,192,4712
231,티맥스소프트,솔루션·SI·CRM·ERP,482,4948
232,호주뉴질랜드은행서울지점,은행·금융,40,5533
233,키사이트테크놀로지스코리아,전기·전자·제어,180,7000
234,인지컨트롤스,자동차·조선·철강·항공,534,5250
235,지투알,부동산·중개·임대,83,4750
236,대우건설,건축·설비·환경,5411,5638
237,씨제이대한통운,물류·운송·배송,6257,6600
238,에이치엔티일렉트로닉스,전기·전자·제어,88,5025
239,DB하이텍,반도체·디스플레이·광학,1950,3600
240,롯데정보통신,솔루션·SI·CRM·ERP,1869,4920
241,한국수력원자력,공기업·공공기관,11006,6200
242,신세계조선호텔,호텔·여행·항공,1733,4700
243,한국해양조사협회,공기업·공공기관,45,3300
244,대원씨티에스,백화점·유통·도소매,152,4192
245,라이엇게임즈코리아,게임·애니메이션,100,2445
246,엔에이치엔,솔루션·SI·CRM·ERP,1000,4584
247,케이티,네트워크·통신서비스,22842,5358
248,제이티캐피탈,캐피탈·대출,135,4462
249,미미박스,생활화학·화장품,230,3420
250,에스피씨,음식료·외식·프랜차이즈,6500,5700
251,한국멘토그래픽스,전기·전자·제어,130,8500
252,매그나칩반도체,반도체·디스플레이·광학,3900,5518
253,삼성엔지니어링,건설·시공·토목·조경,5293,6219
254,네오플,게임·애니메이션,800,4318
255,가온전선,전기·전자·제어,432,5450
256,한국이엠씨컴퓨터시스템즈,컴퓨터·하드웨어·장비,477,6242
257,키움증권,은행·금융,838,4618
258,F&F,음식료·외식·프랜차이즈,380,5575
259,한국토지주택공사,공기업·공공기관,6651,5250
260,경인양행,화학·에너지·환경,620,4650
261,원익아이피에스,반도체·디스플레이·광학,1496,5128
262,넷마블펀,게임·애니메이션,530,3675
263,판토스,물류·운송·배송,3522,5708
264,SK이노베이션,화학·에너지·환경,2395,6333
265,에프에스티,반도체·디스플레이·광학,519,4217
266,신용협동조합중앙회,은행·금융,9200,4925
267,한국수자원공사,공기업·공공기관,5831,3113
268,해외건설협회,공기업·공공기관,70,4500
269,생명보험협회,공기업·공공기관,122,6000
270,범우화학공업,화학·에너지·환경,700,3700
271,슈어소프트테크,솔루션·SI·CRM·ERP,230,4114
272,엘에스엠트론,금속·재료·자재,7000,5150
273,무신사,쇼핑몰·오픈마켓·소셜커머스,510,3580
274,LF,섬유·의류·패션,984,5969
275,코스맥스비티아이,생활화학·화장품,5174,5490
276,가온미디어,전기·전자·제어,290,4283
277,대한지방행정공제회,공기업·공공기관,84,7800
