,회사,산업,사원수,연봉
13335,비아트론,반도체·디스플레이·광학,128,4615
13336,가이아쓰리디,솔루션·SI·CRM·ERP,28,4725
13337,웰즈텔레시스,컴퓨터·하드웨어·장비,10,7165
13338,동양솔루션,전기·전자·제어,9,3250
13339,위즈덤센터,컨설팅·연구·조사,6,2800
13340,이노아이앤씨,네트워크·통신서비스,6,2725
13341,서흥인터내셔날,무역·상사,100,2588
13342,위브데이타,컴퓨터·하드웨어·장비,8,3266
13343,이커머스테크,솔루션·SI·CRM·ERP,45,3328
13344,아이앤드디코리아,쇼핑몰·오픈마켓·소셜커머스,9,2733
13345,한국아이엠유,솔루션·SI·CRM·ERP,54,2933
13346,토탈싸인싸이트,금속·재료·자재,5,2070
13347,디오소프트,솔루션·SI·CRM·ERP,5,3100
13348,매크로임팩트,솔루션·SI·CRM·ERP,40,3420
13349,디노텍,IT컨설팅,10,3060
13350,네무소프트,솔루션·SI·CRM·ERP,32,2866
13351,유엔제이코리아,콜센터·아웃소싱·기타,300,3300
13352,유베이스,콜센터·아웃소싱·기타,10147,3121
13353,비전파워,정보보안,16,4150
13354,소프트탑텐,컴퓨터·하드웨어·장비,8,4750
13355,엔에스컨설팅,컴퓨터·하드웨어·장비,14,3629
13356,브라이트유니온,부동산·중개·임대,9,4560
13357,유비언,컴퓨터·하드웨어·장비,21,2224
13358,한울네오텍,솔루션·SI·CRM·ERP,12,3150
13359,여행신화,호텔·여행·항공,32,3700
13360,대구정보,네트워크·통신서비스,5,3000
13361,한국광양사,디자인·CAD,11,2500
13362,비씨엠정보통신,컴퓨터·하드웨어·장비,16,3433
13363,케어젠,제약·보건·바이오,177,3641
13364,쿼드비트시스템,전기·전자·제어,30,3615
13365,월드브리지티앤티,솔루션·SI·CRM·ERP,23,3125
13366,메타포라,건축·설비·환경,12,4500
13367,씨오엑스시스템,솔루션·SI·CRM·ERP,10,5500
13368,티에고,음식료·외식·프랜차이즈,44,2700
13369,해솔데이타,솔루션·SI·CRM·ERP,18,2600
13370,파스토조,섬유·의류·패션,140,4000
13371,한국인포비즈,솔루션·SI·CRM·ERP,27,4830
13372,하이온넷,네트워크·통신서비스,41,2963
13373,한솔공영,건설·시공·토목·조경,4,3700
13374,아이시스엔지니어링,전기·전자·제어,5,3300
13375,유엔시스,솔루션·SI·CRM·ERP,4,2400
13376,날리지큐브,솔루션·SI·CRM·ERP,80,3497
13377,에이씨케이,솔루션·SI·CRM·ERP,72,2876
13378,벤처포럼비아이,백화점·유통·도소매,11,2400
13379,두리코씨앤티,화학·에너지·환경,60,4600
13380,큐어넷,솔루션·SI·CRM·ERP,8,2700
13381,에이컴메이트코리아,쇼핑몰·오픈마켓·소셜커머스,50,4122
13382,크리웨이브,모바일·APP,17,3500
13383,유니토엔터테인먼트,게임·애니메이션,10,3200
13384,린츠,백화점·유통·도소매,11,2600
13385,제이에이치티,네트워크·통신서비스,10,2133
13386,액시스소프트,솔루션·SI·CRM·ERP,11,5266
13387,마이피씨샵,쇼핑몰·오픈마켓·소셜커머스,30,2400
13388,세벗,IT컨설팅,9,3560
13389,스트라입스,섬유·의류·패션,50,4366
13390,딜라스틱커뮤니케이션,웹에이전시,15,4560
13391,이니스트바이오제약,제약·보건·바이오,277,2900
13392,드리,IT컨설팅,132,2100
13393,브이스퀘어,솔루션·SI·CRM·ERP,10,3860
13394,대유넥스티어,솔루션·SI·CRM·ERP,39,3450
13395,스태커,솔루션·SI·CRM·ERP,7,2900
13396,오스랩스,정보보안,14,4000
13397,금강툴릭스,백화점·유통·도소매,18,2600
13398,바이오이즈,제약·보건·바이오,52,4600
13399,코그넥스코리아,솔루션·SI·CRM·ERP,85,3920
13400,특허법인필앤온지,회계·세무·법무,42,3000
13401,인코어드테크놀로지스,솔루션·SI·CRM·ERP,43,3985
13402,엑소디엔디,IT컨설팅,1,2710
13403,중화무역,무역·상사,6,2300
13404,에이치앤씨게임즈,게임·애니메이션,60,4715
13405,파이퍼베큠세미코리아,기계·기계설비,323,2866
13406,포인트파크,은행·금융,300,2727
13407,금산트리피아,네트워크·통신서비스,39,2060
13408,버즈아트,쇼핑몰·오픈마켓·소셜커머스,3,3933
13409,한국갤럽조사연구소,공기업·공공기관,193,3633
13410,윙스튜디오,게임·애니메이션,15,3733
13411,제이에스필컴,무역·상사,10,2800
13412,도트피치,솔루션·SI·CRM·ERP,11,4220
13413,피씨에이생명보험,은행·금융,1700,6657
13414,아이디어마켓,쇼핑몰·오픈마켓·소셜커머스,30,2200
13415,이승석목갤러리,목재·제지·가구,5,2800
13416,엔터크라우드,포털·컨텐츠·커뮤니티,3,2000
13417,오지오코리아,백화점·유통·도소매,43,2100
13418,하나포스,솔루션·SI·CRM·ERP,11,2966
13419,더스텝,쇼핑몰·오픈마켓·소셜커머스,14,2533
13420,시엠아이코리아,IT컨설팅,5,2400
13421,쏘시에보떼,무역·상사,30,4000
13422,보이스인,IT컨설팅,50,2340
13423,오브콜스,출판·인쇄·사진,30,4400
13424,카엘,음식료·외식·프랜차이즈,60,3675
13425,에이탭,학원·어학원·교육원,12,4750
13426,건아엔터프라이즈,무역·상사,2,2387
13427,더매버릭스,광고·홍보·전시,23,4000
13428,코텍전자,전기·전자·제어,40,3050
13429,동서가구,백화점·유통·도소매,100,2733
13430,수암제약,제약·보건·바이오,10,2900
13431,아미소프트,솔루션·SI·CRM·ERP,4,3800
13432,코아센트코리아,IT컨설팅,7,4000
13433,어드밴텍케이알,컴퓨터·하드웨어·장비,100,3883
13434,에이티온,모바일·APP,7,3720
13435,엔디하임,건설·시공·토목·조경,25,2500
13436,웨이퍼펩,반도체·디스플레이·광학,46,4500
13437,비앤코,쇼핑몰·오픈마켓·소셜커머스,16,2200
13438,타임카페,쇼핑몰·오픈마켓·소셜커머스,4,4400
13439,세경네트웍스,네트워크·통신서비스,4,3000
13440,에몰라이즈,모바일·APP,7,5666
13441,순성산업,생활용품·소비재·기타,70,2900
13442,대한과학,무역·상사,130,3767
13443,비즈허브,컴퓨터·하드웨어·장비,30,4512
13444,파이언스,솔루션·SI·CRM·ERP,12,2900
13445,컨텐츠솔루션,솔루션·SI·CRM·ERP,10,3500
13446,누리어제이티,웹에이전시,25,3780
13447,인디라이프,솔루션·SI·CRM·ERP,10,4431
13448,토크리시,솔루션·SI·CRM·ERP,15,3500
13449,코너스,솔루션·SI·CRM·ERP,16,4465
13450,스카이컴,솔루션·SI·CRM·ERP,28,3892
13451,제이알정보기술,솔루션·SI·CRM·ERP,27,3820
13452,노드웍스,컴퓨터·하드웨어·장비,9,2600
13453,티파이브온라인,모바일·APP,15,3377
13454,동방유래,쇼핑몰·오픈마켓·소셜커머스,14,3200
13455,바이너리,게임·애니메이션,25,2666
13456,비오더블테크놀로지,네트워크·통신서비스,30,3100
13457,프라이드리빙,쇼핑몰·오픈마켓·소셜커머스,5,2100
13458,아세테크,컴퓨터·하드웨어·장비,60,3381
13459,마이크로컨텍솔루션,전기·전자·제어,117,2500
13460,골든벨통상,백화점·유통·도소매,31,3200
13461,그랑쏠레이,기계·기계설비,16,3600
13462,다이렉트,솔루션·SI·CRM·ERP,50,7000
13463,에이든,쇼핑몰·오픈마켓·소셜커머스,14,2100
13464,셀레트라,네트워크·통신서비스,10,3800
13465,칠갑농산,식품가공,256,2640
13466,상상디앤디,쇼핑몰·오픈마켓·소셜커머스,7,2300
13467,라벨영,생활화학·화장품,79,2366
13468,한국리모텍,백화점·유통·도소매,72,3122
13469,좋은문화병원,제약·보건·바이오,300,4600
13470,유나이트플러그,솔루션·SI·CRM·ERP,8,2300
13471,테크니카,쇼핑몰·오픈마켓·소셜커머스,14,1933
13472,서울요리학원,학원·어학원·교육원,30,2700
13473,신영CIS,출판·인쇄·사진,5,2300
13474,삼원기업,광고·홍보·전시,18,2350
13475,투어인터내셔날,호텔·여행·항공,22,2160
13476,아이엠지파트너스,솔루션·SI·CRM·ERP,4,1900
13477,피티더블유코리아,게임·애니메이션,100,2325
13478,베이비프렌즈,솔루션·SI·CRM·ERP,7,5130
13479,씨엑스케이코포레이션,무역·상사,3,1800
13480,인펙비전,전기·전자·제어,15,3401
13481,에스엠투네트웍스,솔루션·SI·CRM·ERP,35,4720
13482,엔제이,무역·상사,14,2500
13483,이케이웍스,솔루션·SI·CRM·ERP,10,4225
13484,콜핑,섬유·의류·패션,116,5300
13485,포토토이닷컴,출판·인쇄·사진,23,3500
13486,에이자인,웹에이전시,6,3200
13487,도시미래종합기술공사,건설·시공·토목·조경,35,3033
13488,위노소프트,솔루션·SI·CRM·ERP,47,5500
13489,카이네스,솔루션·SI·CRM·ERP,8,2666
13490,엠엠에스,섬유·의류·패션,70,2777
13491,아시아홀딩스,네트워크·통신서비스,10,2400
13492,지엔테크,기계·기계설비,35,5600
13493,투비씨앤씨,네트워크·통신서비스,17,3884
13494,인버즈,광고·홍보·전시,15,1900
13495,파파오가닉,음식료·외식·프랜차이즈,12,2700
13496,한국로슈,공기업·공공기관,292,7028
13497,블루햇,컴퓨터·하드웨어·장비,4,4500
13498,다우데이타,공기업·공공기관,168,4107
13499,바이펙스,무역·상사,31,2950
13500,아이알로봇,전기·전자·제어,10,4000
13501,아이티엠코퍼레이션건축사사무소,건설·시공·토목·조경,600,3816
13502,엠투컴,광고·홍보·전시,32,3693
13503,밀레니엄포스,솔루션·SI·CRM·ERP,6,3400
13504,지원앤컴,솔루션·SI·CRM·ERP,13,3150
13505,영데이타통신,네트워크·통신서비스,10,1500
13506,대성안전표지,광고·홍보·전시,25,3200
13507,센텍코리아,반도체·디스플레이·광학,65,1700
13508,에이타워,쇼핑몰·오픈마켓·소셜커머스,45,3320
13509,피스트글로벌,솔루션·SI·CRM·ERP,40,3787
13510,샤인아이티,컴퓨터·하드웨어·장비,10,2700
13511,윈즈데이,솔루션·SI·CRM·ERP,10,3800
13512,금강코엔,금속·재료·자재,120,3500
13513,티에스퍼니처,목재·제지·가구,30,2925
13514,오복식품,생활용품·소비재·기타,176,2075
13515,유니크,자동차·조선·철강·항공,584,4150
13516,네이비,전기·전자·제어,9,3660
13517,피플커넥트,솔루션·SI·CRM·ERP,17,3200
13518,리앤컴,광고·홍보·전시,35,5100
13519,브이플랩,솔루션·SI·CRM·ERP,13,3606
13520,지스타코리아,모바일·APP,40,2600
13521,플레타커뮤니케이션즈,솔루션·SI·CRM·ERP,14,4866
13522,필아이티,모바일·APP,68,3720
13523,더존미디어,포털·컨텐츠·커뮤니티,3,2600
13524,위드팜,제약·보건·바이오,26,3925
13525,에스제이테크시스템,솔루션·SI·CRM·ERP,7,4000
13526,유니트론씨스템즈,컴퓨터·하드웨어·장비,10,2275
13527,마케팅선,웹에이전시,10,2914
13528,원스타일,쇼핑몰·오픈마켓·소셜커머스,15,2460
13529,백선통신,네트워크·통신서비스,11,3300
13530,오케이플라워,쇼핑몰·오픈마켓·소셜커머스,6,3900
13531,위드내추럴,쇼핑몰·오픈마켓·소셜커머스,30,4400
13532,유인,쇼핑몰·오픈마켓·소셜커머스,5,5000
13533,대원도시개발산업,건설·시공·토목·조경,16,3400
13534,연솔루션,솔루션·SI·CRM·ERP,4,6000
13535,나눔에이치앤씨,제약·보건·바이오,8,2425
13536,피케이컴퍼니,쇼핑몰·오픈마켓·소셜커머스,13,2883
13537,애니케어네트웍스,네트워크·통신서비스,5,3100
13538,아이오모션,솔루션·SI·CRM·ERP,11,3600
13539,무브,포털·컨텐츠·커뮤니티,32,3500
13540,피에스포유,솔루션·SI·CRM·ERP,6,1950
13541,두드림씨엔씨,솔루션·SI·CRM·ERP,30,4240
13542,웹케시네트웍스,솔루션·SI·CRM·ERP,120,5800
13543,새연정보기술,컴퓨터·하드웨어·장비,105,2100
13544,케이디전자,컴퓨터·하드웨어·장비,11,1900
13545,아이브스,솔루션·SI·CRM·ERP,60,3725
13546,감정평가법인세종,컨설팅·연구·조사,38,3850
13547,베스텍에이엔디,전기·전자·제어,10,1900
13548,유엔비즈,솔루션·SI·CRM·ERP,30,4550
13549,유한테크노스,솔루션·SI·CRM·ERP,97,3566
13550,엠투에이코리아,솔루션·SI·CRM·ERP,22,6600
13551,대한컴퓨터기술,솔루션·SI·CRM·ERP,4,5500
13552,비즈엠피플,광고·홍보·전시,5,3540
13553,나노엔텍,제약·보건·바이오,100,4122
13554,하나월드,백화점·유통·도소매,20,2900
13555,온더리버,섬유·의류·패션,31,2466
13556,밸류마크,컨설팅·연구·조사,500,3621
13557,에이쓰리엠,네트워크·통신서비스,2,2200
13558,올리버,백화점·유통·도소매,12,2900
13559,지앤클라우드,IT컨설팅,5,4150
13560,베스트일렉트로닉스,전기·전자·제어,8,4500
13561,삼원에버,네트워크·통신서비스,40,2466
13562,비에스아이티,정보보안,9,3600
13563,포디자인,웹에이전시,4,3000
13564,미디어엑셀코리아,컴퓨터·하드웨어·장비,15,3700
13565,이씨스,솔루션·SI·CRM·ERP,28,2713
13566,극동자동화,전기·전자·제어,48,4050
13567,유비즈정보기술,솔루션·SI·CRM·ERP,28,2871
13568,대명엘리베이터,기계·기계설비,74,2800
13569,케이닷컴,네트워크·통신서비스,24,3093
13570,워드프레스협동조합,솔루션·SI·CRM·ERP,10,3400
13571,티앤테크,솔루션·SI·CRM·ERP,18,4000
13572,이지아이앤씨,솔루션·SI·CRM·ERP,43,3581
13573,아이티엔티,반도체·디스플레이·광학,100,4516
13574,스마트전자,전기·전자·제어,97,3600
13575,비엠하우스,백화점·유통·도소매,5,1900
13576,우림엠텍,솔루션·SI·CRM·ERP,7,3000
13577,한국직업교육재단,학원·어학원·교육원,45,3300
13578,다산소프트,컴퓨터·하드웨어·장비,5,4000
13579,터치라인아이엔씨,건설·시공·토목·조경,9,2300
13580,서초입시연구사,학원·어학원·교육원,7,5405
13581,커뮤니케이션엠아이티,솔루션·SI·CRM·ERP,3,2640
13582,싱크트루,솔루션·SI·CRM·ERP,8,3343
13583,제일기건,기계·기계설비,80,2100
13584,비제이피플즈,포털·컨텐츠·커뮤니티,21,3239
13585,커피몰,백화점·유통·도소매,35,2640
13586,헤르시아,쇼핑몰·오픈마켓·소셜커머스,18,2500
13587,원에이블,백화점·유통·도소매,18,2800
13588,애드라,모바일·APP,13,4350
13589,네오코아테크,솔루션·SI·CRM·ERP,5,2366
13590,루안코리아,생활화학·화장품,30,2400
13591,유노믹,모바일·APP,17,3000
13592,트리탑스,디자인·CAD,8,3450
13593,포플즈,솔루션·SI·CRM·ERP,10,6842
13594,다스인포텍,솔루션·SI·CRM·ERP,5,3250
13595,나우앤페이,IT컨설팅,8,2800
13596,크리에이팁,광고·홍보·전시,20,3500
13597,케어랩스,광고·홍보·전시,117,4150
13598,씨앤와이테크,전기·전자·제어,37,4000
13599,도아산업,전기·전자·제어,17,3400
13600,더큰커뮤니케이션,웹에이전시,15,6000
13601,볼트시뮬레이션,솔루션·SI·CRM·ERP,15,3700
13602,중앙교육,학원·어학원·교육원,30,3533
13603,씨앤디팩토리,솔루션·SI·CRM·ERP,28,4340
13604,앰진시큐러스,정보보안,18,3408
13605,한도,자동차·조선·철강·항공,118,3700
13606,글로벌제너레이션,백화점·유통·도소매,15,1400
13607,가화경영컨설팅,솔루션·SI·CRM·ERP,6,4900
13608,이지피아,백화점·유통·도소매,20,3450
13609,덱스타,솔루션·SI·CRM·ERP,12,4811
13610,인지도,모바일·APP,4,2700
13611,지앤아이소프트,게임·애니메이션,28,3400
13612,제릭스테크놀로지,솔루션·SI·CRM·ERP,13,2950
13613,누리기술,전기·전자·제어,7,3800
13614,케이앤아이시스템,컴퓨터·하드웨어·장비,47,2100
13615,이노테크놀로지,네트워크·통신서비스,59,3803
13616,피엘코스메틱,생활화학·화장품,80,2700
13617,큐메이트,전기·전자·제어,250,2713
13618,인터지에스지,백화점·유통·도소매,10,2266
13619,에이플러스크리에이션,섬유·의류·패션,28,4500
13620,누리봄,솔루션·SI·CRM·ERP,60,3996
13621,세림전기,전기·전자·제어,13,4000
13622,시스피아,전기·전자·제어,8,3500
13623,zaf,쇼핑몰·오픈마켓·소셜커머스,7,2200
13624,선인프라,네트워크·통신서비스,21,2750
13625,인텔리와이어리스,모바일·APP,20,4078
13626,나우인벤트,건축·설비·환경,24,3250
13627,보이스토어,솔루션·SI·CRM·ERP,25,5120
13628,한국심트라,솔루션·SI·CRM·ERP,14,3385
13629,퓨쳐스브레인,솔루션·SI·CRM·ERP,30,3483
13630,진명에스엔씨,컴퓨터·하드웨어·장비,4,2400
13631,하나아이티컨설팅,솔루션·SI·CRM·ERP,35,5000
13632,엔트랙시스템,정보보안,9,3780
13633,블리스팩,생활화학·화장품,120,2300
13634,중원게임즈,게임·애니메이션,34,4145
13635,씨엘인터내셔널,게임·애니메이션,80,3466
13636,한국맥널티,식품가공,86,3800
13637,씨엔에스아이티,컴퓨터·하드웨어·장비,38,3200
13638,이다이렉트,은행·금융,51,1900
13639,한국정보기술단,IT컨설팅,170,4612
13640,마이프랜드,전기·전자·제어,9,2400
13641,쓰리에이씨,화학·에너지·환경,125,6500
13642,패션포유,쇼핑몰·오픈마켓·소셜커머스,13,2933
13643,씨케이매니지먼트,백화점·유통·도소매,170,3500
13644,동부엘이디,반도체·디스플레이·광학,59,4750
13645,케이컴퍼니,백화점·유통·도소매,174,1800
13646,라우더스,포털·컨텐츠·커뮤니티,10,3400
13647,크로스오버커뮤니케이션,광고·홍보·전시,34,3068
13648,트렉스타,백화점·유통·도소매,205,3200
13649,남선산업,백화점·유통·도소매,78,4492
13650,케리비,생활용품·소비재·기타,20,3000
13651,아레나,모바일·APP,4,3200
13652,컬쳐크래프트,포털·컨텐츠·커뮤니티,40,3435
13653,인조이웍스,솔루션·SI·CRM·ERP,29,3276
13654,더라벨,쇼핑몰·오픈마켓·소셜커머스,25,2800
13655,스타일커플,쇼핑몰·오픈마켓·소셜커머스,14,2700
13656,산돌커뮤니케이션,디자인·CAD,47,3809
13657,한스크리에이티브,모바일·APP,20,3350
13658,씨랩시스,전기·전자·제어,15,5216
13659,기산전자,전기·전자·제어,194,4144
13660,파크이에스엠,게임·애니메이션,21,1966
13661,베리폰코리아,전기·전자·제어,11,3400
13662,코카반,게임·애니메이션,30,3400
13663,아이티어,컴퓨터·하드웨어·장비,8,4725
13664,오성미디컴,전기·전자·제어,51,4110
13665,브라이트테크,솔루션·SI·CRM·ERP,10,2900
13666,네오펙트,제약·보건·바이오,80,4326
13667,닉스비젼,솔루션·SI·CRM·ERP,6,4500
13668,해솔네트웍스,생활용품·소비재·기타,10,2950
13669,퀘스트글로벌코리아,솔루션·SI·CRM·ERP,20,4840
13670,데이타뱅크코리아,네트워크·통신서비스,7,3500
13671,굳잡소프트,네트워크·통신서비스,4,3770
13672,후퍼,모바일·APP,10,2868
13673,레스큐네트웍스,네트워크·통신서비스,10,2960
13674,삼우트로닉,건설·시공·토목·조경,7,2900
13675,시코에프에이,솔루션·SI·CRM·ERP,9,2400
13676,더블유에이지,포털·컨텐츠·커뮤니티,6,3400
13677,누리콘,컴퓨터·하드웨어·장비,35,3285
13678,아이쿤,포털·컨텐츠·커뮤니티,6,1900
13679,아이스파이프,전기·전자·제어,70,4078
13680,한국네트웍엔지니어링,네트워크·통신서비스,10,3300
13681,오피스파트너,백화점·유통·도소매,5,3000
13682,티아이에스컨설팅,게임·애니메이션,11,4000
13683,햇살맑은집,백화점·유통·도소매,12,1800
13684,디자인티키,광고·홍보·전시,12,3050
13685,해광금속,쇼핑몰·오픈마켓·소셜커머스,7,1900
13686,해찬무역,백화점·유통·도소매,11,2400
13687,하배런메디엔뷰티,생활용품·소비재·기타,23,4200
13688,위즈씨앤에스,컴퓨터·하드웨어·장비,6,3611
13689,듀스펙,학원·어학원·교육원,20,3328
13690,아람통상,쇼핑몰·오픈마켓·소셜커머스,7,2350
13691,온클릭앤비코,솔루션·SI·CRM·ERP,5,4500
13692,파인엠,무역·상사,20,2500
13693,한국전화결제산업협회,공기업·공공기관,20,1700
13694,유비누리,포털·컨텐츠·커뮤니티,8,3570
13695,진성퍼니스,생활용품·소비재·기타,40,2600
13696,델피콤,네트워크·통신서비스,25,3666
13697,에스지엠,솔루션·SI·CRM·ERP,100,4150
13698,프로스타,전기·전자·제어,20,1700
13699,하렉스인포텍,솔루션·SI·CRM·ERP,34,3934
13700,인터패스,정비·A/S·카센터,52,3160
13701,싸이텍코리아,전기·전자·제어,25,3800
13702,명신정보통신,건설·시공·토목·조경,202,5100
13703,에이텔시스텍,전기·전자·제어,21,4100
13704,한화테크엠,기계·기계설비,3,5300
13705,진오텍,전기·전자·제어,30,3700
13706,에듀그린,학원·어학원·교육원,47,1868
13707,바벨,포털·컨텐츠·커뮤니티,15,1700
13708,브이엠에스솔루션스,솔루션·SI·CRM·ERP,95,4537
13709,유니온플레이스,솔루션·SI·CRM·ERP,43,4350
13710,경동종합주방,물류·운송·배송,11,2100
13711,한길정보기술,컴퓨터·하드웨어·장비,5,1900
13712,리즈가구,목재·제지·가구,15,2450
13713,아이알시스템,백화점·유통·도소매,1,2100
13714,서울디지털대학교,공기업·공공기관,150,2649
13715,큐비콤,네트워크·통신서비스,35,2216
13716,둘로스정보통신,솔루션·SI·CRM·ERP,5,5268
13717,카젠,솔루션·SI·CRM·ERP,11,3700
13718,예솔엘앤디,백화점·유통·도소매,8,3000
13719,크리에이티브힐,솔루션·SI·CRM·ERP,20,4400
13720,신화정보통신,건축·설비·환경,8,2300
13721,에프앤에스테크,솔루션·SI·CRM·ERP,1,2400
13722,우리꼴,쇼핑몰·오픈마켓·소셜커머스,55,3350
13723,스노우피크코리아,백화점·유통·도소매,36,3300
13724,고려기프트,백화점·유통·도소매,56,3650
13725,에이온코스퍼,쇼핑몰·오픈마켓·소셜커머스,12,2450
13726,퍼스트어패럴,섬유·의류·패션,126,3000
13727,신지넷,솔루션·SI·CRM·ERP,30,3636
13728,시스네트서비스,컴퓨터·하드웨어·장비,80,2783
13729,유니테크인포컴,솔루션·SI·CRM·ERP,7,5666
13730,엔에이치엔다이퀘스트,솔루션·SI·CRM·ERP,152,3686
13731,북코스모스,쇼핑몰·오픈마켓·소셜커머스,15,3000
13732,유니온종합건설,컴퓨터·하드웨어·장비,8,3800
13733,이피네트시스템즈,전기·전자·제어,80,2700
13734,새한마이크로텍,반도체·디스플레이·광학,84,2600
13735,푸르넷닷컴,학원·어학원·교육원,31,3591
13736,새얀아이엔씨,솔루션·SI·CRM·ERP,33,3177
13737,한성시스코,전기·전자·제어,110,3907
13738,민트기술,솔루션·SI·CRM·ERP,8,2816
13739,포스티엄코리아,컴퓨터·하드웨어·장비,12,5000
13740,한국문헌정보기술,솔루션·SI·CRM·ERP,39,3575
13741,프로그월드,무역·상사,25,2900
13742,고려아카데미컨설팅,학원·어학원·교육원,75,2820
13743,핸들포유,콜센터·아웃소싱·기타,50,4566
13744,모코블링,쇼핑몰·오픈마켓·소셜커머스,100,2280
13745,소리시,네트워크·통신서비스,10,3100
13746,네오콤,네트워크·통신서비스,36,3000
13747,삼원유토피아시스템,솔루션·SI·CRM·ERP,3,2050
13748,자이언트네트워크그룹,물류·운송·배송,79,2800
13749,싸이앤월드,호텔·여행·항공,10,2766
13750,예공,전기·전자·제어,15,4800
13751,새일엘이디,전기·전자·제어,20,2400
13752,메트로소프트,솔루션·SI·CRM·ERP,19,3338
13753,퓨처파워텍,전기·전자·제어,8,4000
13754,에이디앤스타일,웹에이전시,73,3488
13755,퓨텍소프트,솔루션·SI·CRM·ERP,30,4508
13756,코스모진여행사,호텔·여행·항공,56,4550
13757,마인미디어,솔루션·SI·CRM·ERP,10,3166
13758,키마루,백화점·유통·도소매,15,2100
13759,하이씨엔에스,솔루션·SI·CRM·ERP,50,4625
13760,지디에스에스엔씨,솔루션·SI·CRM·ERP,8,4833
13761,아루마,백화점·유통·도소매,15,2271
13762,모루컴퍼니,광고·홍보·전시,21,3500
13763,로로르,백화점·유통·도소매,25,2960
13764,에스엘시스템,무역·상사,4,2600
13765,메드랑,출판·인쇄·사진,67,2800
13766,위시링크,모바일·APP,37,3575
13767,매스티지데코,쇼핑몰·오픈마켓·소셜커머스,40,2916
13768,페어프랜즈,백화점·유통·도소매,25,2100
13769,한국정보공작소,솔루션·SI·CRM·ERP,38,4413
13770,엘티엔,네트워크·통신서비스,152,3000
13771,나우테스테크놀러지,솔루션·SI·CRM·ERP,13,3260
13772,가온솔루션,반도체·디스플레이·광학,30,3200
13773,마리팩토리,솔루션·SI·CRM·ERP,10,3300
13774,도현아이,금속·재료·자재,10,1800
13775,큐브렉스,솔루션·SI·CRM·ERP,35,3300
13776,닥터브레인,쇼핑몰·오픈마켓·소셜커머스,4,2100
13777,나인이즈,솔루션·SI·CRM·ERP,16,2528
13778,디비와이즈,IT컨설팅,7,4210
13779,궁홀딩스,제약·보건·바이오,30,2200
13780,아이비리더스,솔루션·SI·CRM·ERP,65,4373
13781,씨에스에이코스믹,백화점·유통·도소매,110,3380
13782,피티원프레젠테이션그룹,광고·홍보·전시,17,2000
13783,지오네트,전기·전자·제어,14,3313
13784,하이라인닷넷,네트워크·통신서비스,30,2733
13785,투어캐빈,호텔·여행·항공,19,2500
13786,퀴리오스,웹에이전시,20,2610
13787,대원에프엔씨,전기·전자·제어,73,2850
13788,지아이비이커머스,쇼핑몰·오픈마켓·소셜커머스,50,2900
13789,오투아이,솔루션·SI·CRM·ERP,7,3233
13790,핀트러스,컴퓨터·하드웨어·장비,30,2800
13791,인재아이엔씨,솔루션·SI·CRM·ERP,100,4683
13792,유니즌,솔루션·SI·CRM·ERP,30,3700
13793,엠파트너스,컴퓨터·하드웨어·장비,16,2738
13794,지엠글로벌마케팅,백화점·유통·도소매,17,1800
13795,모든오피스,백화점·유통·도소매,45,2600
13796,아이큐엠씨,솔루션·SI·CRM·ERP,30,4100
13797,준목인터내셔널,생활화학·화장품,5,2950
13798,타워씨앤에스,콜센터·아웃소싱·기타,448,3000
13799,디투믹스,솔루션·SI·CRM·ERP,3,1920
13800,신성이엔지,기계·기계설비,7,2800
13801,코리센,정보보안,12,4960
13802,에프원커뮤니케이션즈,솔루션·SI·CRM·ERP,12,4500
13803,테스팅하우스코리아,전기·전자·제어,9,2700
13804,스프링웨이브,전기·전자·제어,65,2879
13805,삼화테크,전기·전자·제어,22,3866
13806,미래종합기술,디자인·CAD,95,2400
13807,취업뽀개기,포털·컨텐츠·커뮤니티,2,3192
13808,패스트시스템,솔루션·SI·CRM·ERP,18,4000
13809,프리스티지오브랜드,백화점·유통·도소매,10,2425
13810,master,전기·전자·제어,30,3500
13811,은하수웰바스,건축·설비·환경,4,3200
13812,엠디에스코리아,솔루션·SI·CRM·ERP,10,2600
13813,테라펫,백화점·유통·도소매,8,2400
13814,영민네트웍스,백화점·유통·도소매,10,3800
13815,에이비오크리에이티브,광고·홍보·전시,6,2300
13816,스마트홈일렉트로닉스,컴퓨터·하드웨어·장비,25,2850
13817,두잇아이씨티,솔루션·SI·CRM·ERP,11,4180
13818,리베로시스템,생활용품·소비재·기타,35,3500
13819,아이피엘,전기·전자·제어,47,3673
13820,제이비알,솔루션·SI·CRM·ERP,10,2100
13821,아이넷시스템,솔루션·SI·CRM·ERP,10,2000
13822,픽스트리,모바일·APP,29,3120
13823,엠넥스텍,전기·전자·제어,26,5125
13824,대한씨앤씨,컴퓨터·하드웨어·장비,15,3100
13825,원강바이오,제약·보건·바이오,11,2100
13826,비즈니스서비스그룹,컨설팅·연구·조사,190,3400
13827,에이치알엠플러스,회계·세무·법무,20,5000
13828,비타토코리아,백화점·유통·도소매,2,2800
13829,피델리스코리아,컴퓨터·하드웨어·장비,9,3600
13830,에이엠네트웍스,컴퓨터·하드웨어·장비,19,2241
13831,이빅스테크,솔루션·SI·CRM·ERP,25,4566
13832,우리경영아카데미,학원·어학원·교육원,10,2400
